delta,theta,alpha,beta,gamma,label,delta_rel,theta_rel,alpha_rel,beta_rel,gamma_rel,alpha_beta_ratio,theta_beta_ratio,engagement_index,fatigue,workload,calmness
0.5957818291296925,0.5244749249258602,0.27118370282881343,0.2391965668179449,0.5670350707475347,0,0.6584709254972094,0.5490179428263443,0.24028189718680598,0.19797213201583344,0.6109511431729833,0.35260798185821773,0.3685920457693186,0.19590688947810284,0.35713237764504757,0.24826863052568127,0.0881729908525073
0.14449342436007323,0.11772418092195633,0.41380910067436916,0.3526707006501645,0.24516206873686827,1,0.2621464324844732,0.20564809490479555,0.6816449744792327,0.562860730824847,0.4396832874741498,0.37186474336092656,0.07138142723750462,0.42679662048858236,0.056692742674178426,0.4153410682966489,0.4719704061571225
0.3006871783362248,0.2641416912698758,0.8562706895080386,0.77148511075301,0.4294750403393883,1,0.2319849990748633,0.19376779230696708,0.7261766618540039,0.6260474903150104,0.3552171911389919,0.3536903242089361,0.059416916869479426,0.4574166167218451,0.04599598169230862,0.36829364093941924,0.52700667735099
0.11030539450898617,0.2574022258910633,0.5879669469413462,0.6532002556347749,0.2567612446775367,1,0.10484328339307247,0.3034151510400923,0.6924058772790638,0.7446424074823975,0.3000445944838029,0.2625026976158156,0.07240705776620054,0.5170849841887732,0.04557618416730834,0.235505332773904,0.5294011982865114
0.06807872368143995,0.10370684670814623,0.5345667187562614,0.35838331085016184,0.2271544174078027,1,0.11965850551968593,0.17809596164313954,0.8607530692770077,0.5642863301787918,0.4004962395570348,0.4907946842436387,0.06313487140163351,0.3597677537081093,0.018674923834856957,0.42271209929380676,0.7384137458507934
0.39819645641631346,0.507979845310436,0.28201382114201423,0.049310852735088756,0.4289676071148183,0,0.5599180980133889,0.6917237438268242,0.3560072487225001,0.049706606297134526,0.5973153492024958,0.9338239927877986,0.7402553975810384,0.02233756052812591,0.27812172827438586,0.19004030306355507,0.12236909599422752
0.27212574949467344,0.22858992915154042,0.7879454544893401,0.7285791286858647,0.18964143635376637,1,0.26042971738721515,0.2057807706060514,0.7849549512968106,0.6976859750394137,0.14461211553574005,0.3409101190289523,0.05421471692916686,0.4758908820607096,0.0447141238652609,0.2031102543981449,0.5343804919751565
0.5581411330690406,0.2791957282741628,0.07024144253004921,0.16346180633262178,0.38469128622973536,0,0.8949505360987393,0.41778201276439575,0.10867549949937716,0.22910417323140483,0.6025402722813138,0.15348887811320397,0.27058631575738323,0.3375329073096607,0.574932347365776,0.31631990748004335,0.0381994506837782
0.7849129764556287,0.5706279067403115,0.0910777254067825,0.26596025746736807,0.8312196193085216,0,0.7744520143397391,0.5200448028574072,0.022875707573015408,0.18089709835366993,0.8126485902105287,0.0862375746669751,0.37009694753742023,0.2841908007315789,0.7912879543997023,0.34233573820631025,0.013971187667370391
0.0969832908893284,0.1959938525491735,0.6317735211422226,0.5486186437788368,0.26236744749472385,1,0.10091183840784984,0.24132510017636324,0.7917442251268284,0.6612828586883434,0.33512112635557595,0.3689416743190922,0.06752564503417893,0.43413002524181243,0.028324684549984755,0.3048663466073173,0.6482386933686229
